Latitude,SqFtTotLiving,SqFt2ndFloor,Longitude,YrBuilt,SqFtFinBasement,SqFt1stFloor
47.4849012,3010,1740,-122.1354674,2018,0,1270
47.6917598,1440,640,-122.3055941,2019,260,540
47.5486339,2900,0,-122.220333,1957,1280,1620
47.5263397,1210,430,-122.3222394,2016,0,400
47.4989642,2090,0,-122.257288,1967,800,1290
47.599753,1700,580,-122.2982911,2016,540,580
47.7663426,1700,0,-122.3107697,1969,0,1700
47.666564,3300,1940,-122.3034383,2016,0,1360
47.7145468,2250,0,-122.2372454,1980,920,1330
47.6185257,3170,0,-122.1638477,1973,1160,2010
47.49568,2990,1320,-122.1454538,2016,180,1490
47.5703934,2690,0,-122.120025,1968,1200,1490
47.4583214,1440,0,-122.188604,1952,0,1440
47.5157556,1800,760,-122.3490074,2019,310,730
47.4914971,2510,1270,-122.1434183,2006,0,1240
47.6412392,2440,1060,-122.1683576,1972,0,1380
47.6353408,1930,0,-122.3130938,1926,150,1780
47.6061886,1920,0,-122.1744303,1974,380,1540
47.5089274,1080,0,-122.3788368,1958,0,1080
47.6894368,1610,0,-122.3851101,1940,470,1140
47.3669131,2000,0,-122.2893644,1977,820,1180
47.6860109,2460,0,-122.3807456,1965,890,1570
47.4480505,2110,0,-122.3504972,1950,0,2110
47.7042561,2320,0,-122.2007803,1963,630,1690
47.5540192,2680,0,-122.1705735,1961,760,1920
47.5817399,1450,490,-122.3151675,2017,480,480
47.3668927,1260,0,-122.1975871,1942,0,1260
47.2619216,2390,0,-122.2696057,1978,0,2390
47.4930119,2200,1320,-122.1422356,2019,0,880
47.6360972,2400,1200,-122.3144997,1922,0,1200
47.616767,1840,650,-122.3005641,2017,0,540
47.5517276,960,0,-122.3126882,1919,0,960
47.5355601,1310,0,-122.3869846,1918,330,980
47.7690885,3400,0,-122.1965244,1967,1670,1730
47.4849952,3030,1660,-122.1363548,2018,0,1370
47.3848124,1150,0,-122.288935,1961,0,1150
47.408374,1990,0,-122.1940349,1965,810,1180
47.6728648,1350,410,-122.380551,2019,0,460
47.6338414,3780,0,-122.1139282,1966,0,2580
47.5362845,4400,0,-122.2362382,1967,1980,2420
47.5169821,900,0,-122.3843801,1932,0,640
47.6246208,1460,590,-122.3143252,2017,300,570
47.7575917,1850,0,-122.3569479,1959,550,1300
47.7325431,1690,0,-122.2980214,1962,520,1170
47.7041916,2710,0,-122.237666,1980,0,2710
47.5416945,1510,0,-122.2995026,1949,360,1150
47.4868849,1380,640,-122.1607881,2016,150,590
47.7653691,2070,0,-122.3344937,1966,750,1320
47.4872003,1380,640,-122.1610867,2016,150,590
47.6747779,1270,0,-122.3538018,1901,0,700
47.5461212,1800,0,-122.3890245,1957,0,1800
47.5876343,3160,0,-122.1737493,1960,1580,1580
47.6747804,1410,0,-122.2846042,1948,0,930
47.381129,2550,1399,-122.214681,2018,0,1151
47.3726282,1560,0,-122.31179,1968,780,780
47.4734424,1880,0,-122.3501191,1956,940,940
47.6726514,1660,0,-122.3231778,1914,0,1070
47.7042707,1700,0,-122.2034674,1967,0,1700
47.5011643,1760,0,-122.3534997,1952,0,1760
47.692251,610,0,-122.3478731,1921,0,610
47.7013728,1720,0,-122.199727,1953,0,1720
47.3418994,2110,0,-122.2899634,1966,980,1130
47.594949,1840,710,-122.3000552,2018,440,690
47.7188533,2080,780,-122.2904965,1936,0,1300
47.7096703,1870,0,-122.2808685,1947,250,1620
47.3669122,1304,0,-122.3181657,1967,0,1304
47.5929918,3540,0,-122.153774,1966,650,2260
47.3777838,1270,0,-122.2847368,1959,0,1270
47.5766992,2380,0,-122.1510784,1955,1000,1380
47.309205,3270,0,-122.3857621,1978,1080,2190
47.5440684,2840,0,-122.2306537,1977,840,2000
47.4549423,2630,0,-122.3352121,1980,700,1930
47.3134801,1800,410,-122.3528247,1982,0,1390
47.5410953,2040,0,-122.2778889,1942,780,1260
47.712638,2810,1610,-122.2360885,2017,0,1200
47.471583,1890,0,-122.1187515,1968,0,2490
47.4972043,960,0,-122.1894456,1942,0,960
47.6881438,2500,1250,-122.3334525,1903,150,1100
47.4950942,2470,1180,-122.2979535,2018,170,1120
47.327453,2946,1767,-122.166231,2018,0,1179
47.5761091,1210,0,-122.1490048,1955,0,1210
47.7167679,1830,0,-122.3136588,1944,0,1830
47.6261959,3060,890,-122.3096342,1905,890,1030
47.5476493,1700,930,-122.2782894,2019,0,770
47.7537289,2120,890,-122.3122508,2019,450,780
47.5744401,2750,0,-122.2360066,1942,1300,1450
47.5886502,2740,0,-122.2443816,1956,1370,1370
47.6743877,1420,480,-122.3650729,2019,460,480
47.6730471,1580,0,-122.1500052,1969,420,1160
47.6344093,1410,0,-122.1266141,1955,0,1410
